entrez,gene_ID,cluster
6195,RPS6KA1,1
6251,RSU1,2
6253,RTN2,3
6275,S100A4,3
6284,S100A13,2
6304,SATB1,2
6342,SCP2,1
6390,SDHB,1
6443,SGCB,3
6461,SHB,3
6464,SHC1,3
6499,SKIV2L,1
6500,SKP1,2
6599,SMARCC1,2
6603,SMARCD2,2
6622,SNCA,3
6659,SOX4,2
6696,SPP1,3
6697,SPR,1
6709,SPTAN1,3
6714,SRC,3
6772,STAT1,2
6774,STAT3,3
6777,STAT5B,2
6790,AURKA,2
6793,STK10,3
6804,STX1A,1
6810,STX4,3
6812,STXBP1,3
6813,STXBP2,3
6839,SUV39H1,2
6850,SYK,3
6856,SYPL1,3
6894,TARBP1,2
6909,TBX2,2
6915,TBXA2R,3
6919,TCEA2,2
6944,VPS72,2
6988,TCTA,3
6990,DYNLT3,2
7015,TERT,1
7016,TESK1,2
7020,TFAP2A,2
7027,TFDP1,2
7048,TGFBR2,3
7074,TIAM1,3
7077,TIMP2,3
7082,TJP1,3
7088,TLE1,1
7099,TLR4,1
7105,TSPAN6,3
7106,TSPAN4,3
7153,TOP2A,2
7159,TP53BP2,3
7165,TPD52L2,1
7168,TPM1,3
7264,GFUS,4
7296,TXNRD1,1
7319,UBE2A,2
7358,UGDH,3
7376,NR1H2,1
7398,USP1,2
7416,VDAC1,1
7485,GET1,4
7494,XBP1,1
7511,XPNPEP1,1
7538,ZFP36,2
7690,ZNF131,2
7750,ZMYM2,2
7852,CXCR4,3
7866,IFRD2,1
7867,MAPKAPK3,2
7874,USP7,1
7905,REEP5,3
7982,ST7,1
7994,KAT6A,2
8050,PDHX,1
8061,FOSL1,2
8202,NCOA3,1
8204,NRIP1,2
8243,SMC1A,1
8312,AXIN1,2
8318,CDC45,2
8324,FZD7,2
8349,H2BC21,4
8396,PIP4K2B,2
8440,NCK2,3
8444,DYRK3,1
8446,DUSP11,2
8503,PIK3R3,3
8508,NIPSNAP1,2
8518,ELP1,4
8520,HAT1,2
8550,MAPKAPK5,1
